 actor_id | first_name  |  last_name   | film_id |            title            | rank | revenue 
        9 | JOE         | SWANK        |     873 | SWEETHEARTS SUSPECTS        |    3 |   98.71
       10 | CHRISTIAN   | GABLE        |     964 | WATERFRONT DELIVERANCE      |    1 |  121.83
       10 | CHRISTIAN   | GABLE        |     694 | PREJUDICE OLEANDER          |    2 |  115.80
       10 | CHRISTIAN   | GABLE        |     251 | DRAGONFLY STRANGERS         |    3 |  103.82
       11 | ZERO        | CAGE         |     938 | VELVET TERMINATOR           |    1 |  177.74
       11 | ZERO        | CAGE         |     854 | STRANGERS GRAFFITI          |    2 |  123.83
       11 | ZERO        | CAGE         |     433 | HORN WORKING                |    3 |  112.76
       12 | KARL        | BERRY        |     838 | STAGECOACH ARMAGEDDON       |    1 |  154.74
       12 | KARL        | BERRY        |     243 | DOORS PRESIDENT             |    2 |  123.81
       12 | KARL        | BERRY        |     871 | SWEDEN SHINING              |    3 |  111.81
       13 | UMA         | WOOD         |     897 | TORQUE BOUND                |    1 |  198.72
       13 | UMA         | WOOD         |      45 | ATTRACTION NEWTON           |    2 |  146.76
       13 | UMA         | WOOD         |     843 | STEEL SANTA                 |    3 |  141.77
       14 | VIVIEN      | BERGEN       |     764 | SATURDAY LAMBS              |    1 |  204.72
       14 | VIVIEN      | BERGEN       |     284 | ENEMY ODDS                  |    2 |  180.71
       14 | VIVIEN      | BERGEN       |     856 | STREETCAR INTENTIONS        |    3 |  148.75
       15 | CUBA        | OLIVIER      |      31 | APACHE DIVINE               |    1 |  178.69
       15 | CUBA        | OLIVIER      |     745 | ROSES TREASURE              |    2 |  171.72
       15 | CUBA        | OLIVIER      |     985 | WONDERLAND CHRISTMAS        |    3 |  148.78
       16 | FRED        | COSTNER      |     267 | EAGLES PANKY                |    1 |  152.78
       16 | FRED        | COSTNER      |     271 | EASY GLADIATOR              |    2 |  150.77
       16 | FRED        | COSTNER      |     583 | MISSION ZOOLANDER           |    3 |  126.82
       17 | HELEN       | VOIGHT       |     127 | CAT CONEHEADS               |    1 |  181.70
       17 | HELEN       | VOIGHT       |     521 | LIES TREATMENT              |    2 |  147.73
       17 | HELEN       | VOIGHT       |     603 | MOVIE SHAKESPEARE           |    3 |  145.74
       18 | DAN         | TORN         |     460 | INNOCENT USUAL              |    1 |  191.74
       18 | DAN         | TORN         |     172 | CONEHEADS SMOOCHY           |    2 |  136.75
       18 | DAN         | TORN         |     484 | JERK PAYCHECK               |    3 |  107.80
       19 | BOB         | FAWCETT      |     670 | PELICAN COMFORTS            |    1 |  188.74
       19 | BOB         | FAWCETT      |     771 | SCORPION APOLLO             |    2 |  168.77
       19 | BOB         | FAWCETT      |     785 | SHAWSHANK BUBBLE            |    3 |  109.81
       20 | LUCILLE     | TRACY        |     527 | LOLA AGENT                  |    1 |  159.76
       20 | LUCILLE     | TRACY        |     243 | DOORS PRESIDENT             |    2 |  123.81
       20 | LUCILLE     | TRACY        |     274 | EGG IGBY                    |    3 |  105.79
       21 | KIRSTEN     | PALTROW      |     893 | TITANS JERK                 |    1 |  201.71
       21 | KIRSTEN     | PALTROW      |     159 | CLOSER BANG                 |    2 |  172.72
       21 | KIRSTEN     | PALTROW      |     253 | DRIFTER COMMANDMENTS        |    3 |  141.76
       22 | ELVIS       | MARX         |     369 | GOODFELLAS SALUTE           |    1 |  209.69
       22 | ELVIS       | MARX         |     775 | SEATTLE EXPECATIONS         |    2 |  163.75
       22 | ELVIS       | MARX         |     964 | WATERFRONT DELIVERANCE      |    3 |  121.83
       23 | SANDRA      | KILMER       |     856 | STREETCAR INTENTIONS        |    1 |  148.75
       23 | SANDRA      | KILMER       |     804 | SLEEPING SUSPECTS           |    2 |  131.76
       23 | SANDRA      | KILMER       |     117 | CANDLES GRAPES              |    3 |  128.77
       24 | CAMERON     | STREEP       |     603 | MOVIE SHAKESPEARE           |    1 |  145.74
       24 | CAMERON     | STREEP       |     112 | CALENDAR GUNFIGHT           |    2 |  141.79
       24 | CAMERON     | STREEP       |     199 | CUPBOARD SINNERS            |    3 |  106.77
       25 | KEVIN       | BLOOM        |      21 | AMERICAN CIRCUS             |    1 |  167.78
       25 | KEVIN       | BLOOM        |      86 | BOOGIE AMELIE               |    2 |  163.70
       25 | KEVIN       | BLOOM        |     583 | MISSION ZOOLANDER           |    3 |  126.82
       26 | RIP         | CRAWFORD     |     764 | SATURDAY LAMBS              |    1 |  204.72
       26 | RIP         | CRAWFORD     |     103 | BUCKET BROTHERHOOD          |    2 |  180.66
       26 | RIP         | CRAWFORD     |     715 | RANGE MOONWALKER            |    3 |  179.73
       27 | JULIA       | MCQUEEN      |     771 | SCORPION APOLLO             |    1 |  168.77
       27 | JULIA       | MCQUEEN      |     172 | CONEHEADS SMOOCHY           |    2 |  136.75
       27 | JULIA       | MCQUEEN      |     500 | KISS GLORY                  |    3 |  132.78
       28 | WOODY       | HOFFMAN      |     879 | TELEGRAPH VOYAGE            |    1 |  231.73
       28 | WOODY       | HOFFMAN      |     973 | WIFE TURN                   |    2 |  223.69
       28 | WOODY       | HOFFMAN      |     551 | MAIDEN HOME                 |    3 |  163.76
       29 | ALEC        | WAYNE        |     444 | HUSTLER PARTY               |    1 |  190.78
       29 | ALEC        | WAYNE        |     131 | CENTER DINOSAUR             |    2 |  137.76
       29 | ALEC        | WAYNE        |     172 | CONEHEADS SMOOCHY           |    3 |  136.75
       30 | SANDRA      | PECK         |     838 | STAGECOACH ARMAGEDDON       |    1 |  154.74
       30 | SANDRA      | PECK         |      69 | BEVERLY OUTLAW              |    2 |  115.79
       30 | SANDRA      | PECK         |      77 | BIRDS PERDITION             |    3 |  111.82
       31 | SISSY       | SOBIESKI     |     637 | OPEN AFRICAN                |    1 |  113.79
       31 | SISSY       | SOBIESKI     |     739 | ROCKY WAR                   |    2 |  107.84
       31 | SISSY       | SOBIESKI     |     880 | TELEMARK HEARTBREAKERS      |    3 |   91.75
       32 | TIM         | HACKMAN      |     103 | BUCKET BROTHERHOOD          |    1 |  180.66
       32 | TIM         | HACKMAN      |     112 | CALENDAR GUNFIGHT           |    2 |  141.79
       32 | TIM         | HACKMAN      |     199 | CUPBOARD SINNERS            |    3 |  106.77
       33 | MILLA       | PECK         |     775 | SEATTLE EXPECATIONS         |    1 |  163.75
       33 | MILLA       | PECK         |     972 | WHISPERER GIANT             |    2 |  151.78
       33 | MILLA       | PECK         |     112 | CALENDAR GUNFIGHT           |    3 |  141.79
       34 | AUDREY      | OLIVIER      |     244 | DORADO NOTTING              |    1 |  176.73
       34 | AUDREY      | OLIVIER      |     846 | STING PERSONAL              |    2 |  159.79
       34 | AUDREY      | OLIVIER      |     172 | CONEHEADS SMOOCHY           |    3 |  136.75
       35 | JUDY        | DEAN         |      10 | ALADDIN CALENDAR            |    1 |  131.77
       35 | JUDY        | DEAN         |     738 | ROCKETEER MOTHER            |    2 |  116.67
       35 | JUDY        | DEAN         |      35 | ARACHNOPHOBIA ROLLERCOASTER |    3 |  114.76
       36 | BURT        | DUKAKIS      |     715 | RANGE MOONWALKER            |    1 |  179.73
       36 | BURT        | DUKAKIS      |     915 | TRUMAN CRAZY                |    2 |  121.77
       36 | BURT        | DUKAKIS      |     590 | MONEY HAROLD                |    3 |  111.80
       37 | VAL         | BOLGER       |     989 | WORKING MICROCOSMOS         |    1 |  163.75
       37 | VAL         | BOLGER       |     253 | DRIFTER COMMANDMENTS        |    2 |  141.76
       37 | VAL         | BOLGER       |      10 | ALADDIN CALENDAR            |    3 |  131.77
       38 | TOM         | MCKELLEN     |     501 | KISSING DOLLS               |    1 |  147.80
       38 | TOM         | MCKELLEN     |     583 | MISSION ZOOLANDER           |    2 |  126.82
       38 | TOM         | MCKELLEN     |     827 | SPICE SORORITY              |    3 |  115.80
       39 | GOLDIE      | BRODY        |     683 | PITY BOUND                  |    1 |  153.74
       39 | GOLDIE      | BRODY        |     320 | FLAMINGOS CONNECTICUT       |    2 |  139.77
       39 | GOLDIE      | BRODY        |      73 | BINGO TALENTED              |    3 |  131.71
       40 | JOHNNY      | CAGE         |     938 | VELVET TERMINATOR           |    1 |  177.74
       40 | JOHNNY      | CAGE         |     521 | LIES TREATMENT              |    2 |  147.73
       40 | JOHNNY      | CAGE         |     869 | SUSPECTS QUILLS             |    3 |  133.70
       41 | JODIE       | DEGENERES    |     159 | CLOSER BANG                 |    1 |  172.72
       41 | JODIE       | DEGENERES    |      86 | BOOGIE AMELIE               |    2 |  163.70
       41 | JODIE       | DEGENERES    |     596 | MOONSHINE CABIN             |    3 |  141.79
       42 | TOM         | MIRANDA      |     865 | SUNRISE LEAGUE              |    1 |  170.76
       42 | TOM         | MIRANDA      |     527 | LOLA AGENT                  |    2 |  159.76
       42 | TOM         | MIRANDA      |     861 | SUIT WALLS                  |    3 |  147.79
       43 | KIRK        | JOVOVICH     |     239 | DOGMA FAMILY                |    1 |  178.70
       43 | KIRK        | JOVOVICH     |     330 | FORRESTER COMANCHEROS       |    2 |  146.73
       43 | KIRK        | JOVOVICH     |     621 | NETWORK PEAK                |    3 |  133.69
       44 | NICK        | STALLONE     |     902 | TRADING PINOCCHIO           |    1 |  147.75
       44 | NICK        | STALLONE     |     878 | TEEN APOLLO                 |    2 |  127.83
       44 | NICK        | STALLONE     |     854 | STRANGERS GRAFFITI          |    3 |  123.83
       45 | REESE       | KILMER       |     767 | SCALAWAG DUCK               |    1 |  172.68
       45 | REESE       | KILMER       |     778 | SECRETS PARADISE            |    2 |  152.80
       45 | REESE       | KILMER       |     330 | FORRESTER COMANCHEROS       |    3 |  146.73
       46 | PARKER      | GOLDBERG     |     174 | CONFIDENTIAL INTERVIEW      |    1 |  164.71
       46 | PARKER      | GOLDBERG     |     768 | SCARFACE BANG               |    2 |  120.82
       46 | PARKER      | GOLDBERG     |     319 | FISH OPUS                   |    3 |  108.75
       47 | JULIA       | BARRYMORE    |     973 | WIFE TURN                   |    1 |  223.69
       47 | JULIA       | BARRYMORE    |     670 | PELICAN COMFORTS            |    2 |  188.74
       47 | JULIA       | BARRYMORE    |     172 | CONEHEADS SMOOCHY           |    3 |  136.75
       48 | FRANCES     | DAY-LEWIS    |     267 | EAGLES PANKY                |    1 |  152.78
       48 | FRANCES     | DAY-LEWIS    |     506 | LADY STAGE                  |    2 |  118.83
       48 | FRANCES     | DAY-LEWIS    |     922 | UNDEFEATED DALMATIONS       |    3 |  114.79
       49 | ANNE        | CRONYN       |      31 | APACHE DIVINE               |    1 |  178.69
       49 | ANNE        | CRONYN       |     579 | MINDS TRUMAN                |    2 |  149.80
       49 | ANNE        | CRONYN       |     506 | LADY STAGE                  |    3 |  118.83
       50 | NATALIE     | HOPKINS      |     897 | TORQUE BOUND                |    1 |  198.72
       50 | NATALIE     | HOPKINS      |     327 | FOOL MOCKINGBIRD            |    2 |  175.77
       50 | NATALIE     | HOPKINS      |     621 | NETWORK PEAK                |    3 |  133.69
       51 | GARY        | PHOENIX      |     103 | BUCKET BROTHERHOOD          |    1 |  180.66
       51 | GARY        | PHOENIX      |     408 | HEAD STRANGER               |    2 |  152.78
       51 | GARY        | PHOENIX      |     112 | CALENDAR GUNFIGHT           |    3 |  141.79
       52 | CARMEN      | HUNT         |     879 | TELEGRAPH VOYAGE            |    1 |  231.73
       52 | CARMEN      | HUNT         |     596 | MOONSHINE CABIN             |    2 |  141.79
       52 | CARMEN      | HUNT         |     878 | TEEN APOLLO                 |    3 |  127.83
       53 | MENA        | TEMPLE       |     307 | FELLOWSHIP AUTUMN           |    1 |  149.74
       53 | MENA        | TEMPLE       |     518 | LIAISONS SWEET              |    2 |  131.78
       53 | MENA        | TEMPLE       |     465 | INTERVIEW LIAISONS          |    3 |  128.80
       54 | PENELOPE    | PINKETT      |     764 | SATURDAY LAMBS              |    1 |  204.72
       54 | PENELOPE    | PINKETT      |     861 | SUIT WALLS                  |    2 |  147.79
       54 | PENELOPE    | PINKETT      |     129 | CAUSE DATE                  |    3 |  128.79
       55 | FAY         | KILMER       |     403 | HARRY IDAHO                 |    1 |  195.70
       55 | FAY         | KILMER       |     307 | FELLOWSHIP AUTUMN           |    2 |  149.74
       55 | FAY         | KILMER       |     603 | MOVIE SHAKESPEARE           |    3 |  145.74
       56 | DAN         | HARRIS       |     893 | TITANS JERK                 |    1 |  201.71
       56 | DAN         | HARRIS       |     892 | TITANIC BOONDOCK            |    2 |  154.77
       56 | DAN         | HARRIS       |     307 | FELLOWSHIP AUTUMN           |    3 |  149.74
       57 | JUDE        | CRUISE       |     767 | SCALAWAG DUCK               |    1 |  172.68
       57 | JUDE        | CRUISE       |     267 | EAGLES PANKY                |    2 |  152.78
       57 | JUDE        | CRUISE       |     891 | TIMBERLAND SKY              |    3 |  123.69
       58 | CHRISTIAN   | AKROYD       |     460 | INNOCENT USUAL              |    1 |  191.74
       58 | CHRISTIAN   | AKROYD       |     551 | MAIDEN HOME                 |    2 |  163.76
       58 | CHRISTIAN   | AKROYD       |      48 | BACKLASH UNDEFEATED         |    3 |  158.81
       59 | DUSTIN      | TAUTOU       |     702 | PULP BEVERLY                |    1 |  136.70
       59 | DUSTIN      | TAUTOU       |     572 | METROPOLIS COMA             |    2 |  131.74
       59 | DUSTIN      | TAUTOU       |     129 | CAUSE DATE                  |    3 |  128.79
       60 | HENRY       | BERRY        |     239 | DOGMA FAMILY                |    1 |  178.70
       60 | HENRY       | BERRY        |      31 | APACHE DIVINE               |    2 |  178.69
       60 | HENRY       | BERRY        |     771 | SCORPION APOLLO             |    3 |  168.77
       61 | CHRISTIAN   | NEESON       |     767 | SCALAWAG DUCK               |    1 |  172.68
       61 | CHRISTIAN   | NEESON       |     307 | FELLOWSHIP AUTUMN           |    2 |  149.74
       61 | CHRISTIAN   | NEESON       |     518 | LIAISONS SWEET              |    3 |  131.78
       62 | JAYNE       | NEESON       |     465 | INTERVIEW LIAISONS          |    1 |  128.80
       62 | JAYNE       | NEESON       |     129 | CAUSE DATE                  |    2 |  128.79
       62 | JAYNE       | NEESON       |       6 | AGENT TRUMAN                |    3 |  126.79
       63 | CAMERON     | WRAY         |     893 | TITANS JERK                 |    1 |  201.71
       63 | CAMERON     | WRAY         |     167 | COMA HEAD                   |    2 |  137.74
       63 | CAMERON     | WRAY         |      73 | BINGO TALENTED              |    3 |  131.71
       64 | RAY         | JOHANSSON    |     307 | FELLOWSHIP AUTUMN           |    1 |  149.74
       64 | RAY         | JOHANSSON    |      10 | ALADDIN CALENDAR            |    2 |  131.77
       64 | RAY         | JOHANSSON    |     572 | METROPOLIS COMA             |    3 |  131.74
       65 | ANGELA      | HUDSON       |     938 | VELVET TERMINATOR           |    1 |  177.74
       65 | ANGELA      | HUDSON       |     683 | PITY BOUND                  |    2 |  153.74
       65 | ANGELA      | HUDSON       |     117 | CANDLES GRAPES              |    3 |  128.77
       66 | MARY        | TANDY        |     350 | GARDEN ISLAND               |    1 |  144.80
       66 | MARY        | TANDY        |     706 | QUEEN LUKE                  |    2 |  136.78
       66 | MARY        | TANDY        |     361 | GLEAMING JAWBREAKER         |    3 |  136.70
       67 | JESSICA     | BAILEY       |     244 | DORADO NOTTING              |    1 |  176.73
       67 | JESSICA     | BAILEY       |     408 | HEAD STRANGER               |    2 |  152.78
       67 | JESSICA     | BAILEY       |     972 | WHISPERER GIANT             |    3 |  151.78
       68 | RIP         | WINSLET      |      45 | ATTRACTION NEWTON           |    1 |  146.76
       68 | RIP         | WINSLET      |     706 | QUEEN LUKE                  |    2 |  136.78
       68 | RIP         | WINSLET      |     971 | WHALE BIKINI                |    3 |  134.82
       69 | KENNETH     | PALTROW      |     791 | SHOW LORD                   |    1 |  170.75
       69 | KENNETH     | PALTROW      |     300 | FALCON VOLUME               |    2 |  127.77
       69 | KENNETH     | PALTROW      |     396 | HANGING DEEP                |    3 |  113.81
       70 | MICHELLE    | MCCONAUGHEY  |     856 | STREETCAR INTENTIONS        |    1 |  148.75
       70 | MICHELLE    | MCCONAUGHEY  |     227 | DETAILS PACKER              |    2 |  133.81
       70 | MICHELLE    | MCCONAUGHEY  |     869 | SUSPECTS QUILLS             |    3 |  133.70
       71 | ADAM        | GRANT        |     450 | IDOLS SNATCHERS             |    1 |  114.70
       71 | ADAM        | GRANT        |     385 | GROUNDHOG UNCUT             |    2 |  102.82
       71 | ADAM        | GRANT        |     773 | SEABISCUIT PUNK             |    3 |   95.74
       72 | SEAN        | WILLIAMS     |     938 | VELVET TERMINATOR           |    1 |  177.74
       72 | SEAN        | WILLIAMS     |     865 | SUNRISE LEAGUE              |    2 |  170.76
       72 | SEAN        | WILLIAMS     |     331 | FORWARD TEMPLE              |    3 |  128.68
       73 | GARY        | PENN         |      45 | ATTRACTION NEWTON           |    1 |  146.76
       73 | GARY        | PENN         |     946 | VIRTUAL SPOILERS            |    2 |  117.86
       73 | GARY        | PENN         |      77 | BIRDS PERDITION             |    3 |  111.82
       74 | MILLA       | KEITEL       |     902 | TRADING PINOCCHIO           |    1 |  147.75
       74 | MILLA       | KEITEL       |     263 | DURHAM PANKY                |    2 |  144.74
       74 | MILLA       | KEITEL       |     804 | SLEEPING SUSPECTS           |    3 |  131.76
       75 | BURT        | POSEY        |     764 | SATURDAY LAMBS              |    1 |  204.72
       75 | BURT        | POSEY        |     579 | MINDS TRUMAN                |    2 |  149.80
       75 | BURT        | POSEY        |     222 | DESERT POSEIDON             |    3 |  118.81
       76 | ANGELINA    | ASTAIRE      |     444 | HUSTLER PARTY               |    1 |  190.78
       76 | ANGELINA    | ASTAIRE      |      95 | BREAKFAST GOLDFINGER        |    2 |  109.83
       76 | ANGELINA    | ASTAIRE      |     760 | SAMURAI LION                |    3 |  108.75
       77 | CARY        | MCCONAUGHEY  |     938 | VELVET TERMINATOR           |    1 |  177.74
       77 | CARY        | MCCONAUGHEY  |      73 | BINGO TALENTED              |    2 |  131.71
       77 | CARY        | MCCONAUGHEY  |     694 | PREJUDICE OLEANDER          |    3 |  115.80
       78 | GROUCHO     | SINATRA      |     670 | PELICAN COMFORTS            |    1 |  188.74
       78 | GROUCHO     | SINATRA      |     239 | DOGMA FAMILY                |    2 |  178.70
       78 | GROUCHO     | SINATRA      |     767 | SCALAWAG DUCK               |    3 |  172.68
       79 | MAE         | HOFFMAN      |     267 | EAGLES PANKY                |    1 |  152.78
       79 | MAE         | HOFFMAN      |     776 | SECRET GROUNDHOG            |    2 |  116.79
       79 | MAE         | HOFFMAN      |     141 | CHICAGO NORTH               |    3 |   89.84
       80 | RALPH       | CRUZ         |     941 | VIDEOTAPE ARSENIC           |    1 |  178.71
       80 | RALPH       | CRUZ         |     979 | WITCHES PANIC               |    2 |  173.70
       80 | RALPH       | CRUZ         |     680 | PINOCCHIO SIMON             |    3 |  133.80
       81 | SCARLETT    | DAMON        |     527 | LOLA AGENT                  |    1 |  159.76
       81 | SCARLETT    | DAMON        |     267 | EAGLES PANKY                |    2 |  152.78
       81 | SCARLETT    | DAMON        |     579 | MINDS TRUMAN                |    3 |  149.80
       82 | WOODY       | JOLIE        |     893 | TITANS JERK                 |    1 |  201.71
       82 | WOODY       | JOLIE        |     551 | MAIDEN HOME                 |    2 |  163.76
       82 | WOODY       | JOLIE        |     527 | LOLA AGENT                  |    3 |  159.76
       83 | BEN         | WILLIS       |     369 | GOODFELLAS SALUTE           |    1 |  209.69
       83 | BEN         | WILLIS       |     764 | SATURDAY LAMBS              |    2 |  204.72
       83 | BEN         | WILLIS       |     263 | DURHAM PANKY                |    3 |  144.74
       84 | JAMES       | PITT         |     764 | SATURDAY LAMBS              |    1 |  204.72
       84 | JAMES       | PITT         |     460 | INNOCENT USUAL              |    2 |  191.74
       84 | JAMES       | PITT         |     843 | STEEL SANTA                 |    3 |  141.77
       85 | MINNIE      | ZELLWEGER    |     869 | SUSPECTS QUILLS             |    1 |  133.70
       85 | MINNIE      | ZELLWEGER    |     895 | TOMORROW HUSTLER            |    2 |  110.75
       85 | MINNIE      | ZELLWEGER    |     216 | DAY UNFAITHFUL              |    3 |  109.86
       86 | GREG        | CHAPLIN      |     893 | TITANS JERK                 |    1 |  201.71
       86 | GREG        | CHAPLIN      |     331 | FORWARD TEMPLE              |    2 |  128.68
       86 | GREG        | CHAPLIN      |     878 | TEEN APOLLO                 |    3 |  127.83
       87 | SPENCER     | PECK         |      48 | BACKLASH UNDEFEATED         |    1 |  158.81
       87 | SPENCER     | PECK         |     253 | DRIFTER COMMANDMENTS        |    2 |  141.76
       87 | SPENCER     | PECK         |     706 | QUEEN LUKE                  |    3 |  136.78
       88 | KENNETH     | PESCI        |     908 | TRAP GUYS                   |    1 |  126.84
       88 | KENNETH     | PESCI        |     304 | FARGO GANDHI                |    2 |  111.76
       88 | KENNETH     | PESCI        |     785 | SHAWSHANK BUBBLE            |    3 |  109.81
       89 | CHARLIZE    | DENCH        |     103 | BUCKET BROTHERHOOD          |    1 |  180.66
       89 | CHARLIZE    | DENCH        |     117 | CANDLES GRAPES              |    2 |  128.77
       89 | CHARLIZE    | DENCH        |     162 | CLUELESS BUCKET             |    3 |  112.75
       90 | SEAN        | GUINESS      |     771 | SCORPION APOLLO             |    1 |  168.77
       90 | SEAN        | GUINESS      |     838 | STAGECOACH ARMAGEDDON       |    2 |  154.74
       90 | SEAN        | GUINESS      |     330 | FORRESTER COMANCHEROS       |    3 |  146.73
       91 | CHRISTOPHER | BERRY        |     941 | VIDEOTAPE ARSENIC           |    1 |  178.71
       91 | CHRISTOPHER | BERRY        |      48 | BACKLASH UNDEFEATED         |    2 |  158.81
       91 | CHRISTOPHER | BERRY        |      25 | ANGELS LIFE                 |    3 |  119.78
       92 | KIRSTEN     | AKROYD       |     103 | BUCKET BROTHERHOOD          |    1 |  180.66
       92 | KIRSTEN     | AKROYD       |     838 | STAGECOACH ARMAGEDDON       |    2 |  154.74
       92 | KIRSTEN     | AKROYD       |     512 | LEAGUE HELLFIGHTERS         |    3 |  105.83
       93 | ELLEN       | PRESLEY      |     856 | STREETCAR INTENTIONS        |    1 |  148.75
       93 | ELLEN       | PRESLEY      |     680 | PINOCCHIO SIMON             |    2 |  133.80
       93 | ELLEN       | PRESLEY      |     621 | NETWORK PEAK                |    3 |  133.69
       94 | KENNETH     | TORN         |     551 | MAIDEN HOME                 |    1 |  163.76
       94 | KENNETH     | TORN         |     775 | SEATTLE EXPECATIONS         |    2 |  163.75
       94 | KENNETH     | TORN         |     989 | WORKING MICROCOSMOS         |    3 |  163.75
       95 | DARYL       | WAHLBERG     |     551 | MAIDEN HOME                 |    1 |  163.76
       95 | DARYL       | WAHLBERG     |      35 | ARACHNOPHOBIA ROLLERCOASTER |    2 |  114.76
       95 | DARYL       | WAHLBERG     |     294 | EXPECATIONS NATURAL         |    3 |  110.82
       96 | GENE        | WILLIS       |     244 | DORADO NOTTING              |    1 |  176.73
       96 | GENE        | WILLIS       |     846 | STING PERSONAL              |    2 |  159.79
       96 | GENE        | WILLIS       |     778 | SECRETS PARADISE            |    3 |  152.80
       97 | MEG         | HAWKE        |     518 | LIAISONS SWEET              |    1 |  131.78
       97 | MEG         | HAWKE        |     755 | SABRINA MIDNIGHT            |    2 |  126.79
       97 | MEG         | HAWKE        |     370 | GORGEOUS BINGO              |    3 |  105.81
       98 | CHRIS       | BRIDGES      |     985 | WONDERLAND CHRISTMAS        |    1 |  148.78
       98 | CHRIS       | BRIDGES      |     734 | ROAD ROXANNE                |    2 |  130.81
       98 | CHRIS       | BRIDGES      |     710 | RAGE GAMES                  |    3 |  119.81
       99 | JIM         | MOSTEL       |     572 | METROPOLIS COMA             |    1 |  131.74
       99 | JIM         | MOSTEL       |     512 | LEAGUE HELLFIGHTERS         |    2 |  105.83
       99 | JIM         | MOSTEL       |     414 | HELLFIGHTERS SIERRA         |    3 |   97.80
      100 | SPENCER     | DEPP         |     563 | MASSACRE USUAL              |    1 |  179.70
      100 | SPENCER     | DEPP         |     979 | WITCHES PANIC               |    2 |  173.70
      100 | SPENCER     | DEPP         |     846 | STING PERSONAL              |    3 |  159.79
      101 | SUSAN       | DAVIS        |     941 | VIDEOTAPE ARSENIC           |    1 |  178.71
      101 | SUSAN       | DAVIS        |     263 | DURHAM PANKY                |    2 |  144.74
      101 | SUSAN       | DAVIS        |     702 | PULP BEVERLY                |    3 |  136.70
      102 | WALTER      | TORN         |     979 | WITCHES PANIC               |    1 |  173.70
      102 | WALTER      | TORN         |     624 | NIGHTMARE CHILL             |    2 |  169.75
      102 | WALTER      | TORN         |     521 | LIES TREATMENT              |    3 |  147.73
      103 | MATTHEW     | LEIGH        |     271 | EASY GLADIATOR              |    1 |  150.77
      103 | MATTHEW     | LEIGH        |     215 | DAWN POND                   |    2 |  128.82
      103 | MATTHEW     | LEIGH        |     895 | TOMORROW HUSTLER            |    3 |  110.75
      104 | PENELOPE    | CRONYN       |     892 | TITANIC BOONDOCK            |    1 |  154.77
      104 | PENELOPE    | CRONYN       |     313 | FIDELITY DEVIL              |    2 |  138.79
      104 | PENELOPE    | CRONYN       |     583 | MISSION ZOOLANDER           |    3 |  126.82
      105 | SIDNEY      | CROWE        |     893 | TITANS JERK                 |    1 |  201.71
      105 | SIDNEY      | CROWE        |     239 | DOGMA FAMILY                |    2 |  178.70
      105 | SIDNEY      | CROWE        |      21 | AMERICAN CIRCUS             |    3 |  167.78
      106 | GROUCHO     | DUNST        |     439 | HUNCHBACK IMPOSSIBLE        |    1 |  134.80
